timestamp,service,message,attack_type,predicted_attack_type
28012025 23:23:23,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 23:23:51,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:24:24,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:24:57,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:25:31,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:26:04,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:26:37,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:27:10,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:27:25,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 23:27:25,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
28012025 23:27:43,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
28012025 23:28:16,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
29012025 00:05:27,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 00:25:00,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 00:25:01,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
29012025 00:26:15,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 00:30:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 00:43:39,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 00:43:39,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:07:39,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:17:32,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:24:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:29:12,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:45:09,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:57:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 01:57:38,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 02:12:23,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 02:12:23,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 02:16:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 02:25:28,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 02:57:07,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 02:57:07,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 03:31:17,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 03:34:19,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack,Log_SQLite Attack
29012025 03:36:00,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'\x00',Other Attack,Other Attack
29012025 03:36:00,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'\x00',Other Attack,Other Attack
29012025 03:36:01,SMB,/dionaea/smb/smb.py:107: === not really SMB,Other Attack,Other Attack
29012025 03:40:20,SMB,/dionaea/smb/smb.py:107: === not really SMB,Other Attack,Other Attack
29012025 03:52:43,SMB,/dionaea/smb/smb.py:127: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 03:52:43,SMB,/dionaea/smb/smb.py:157: p.haslayer(Raw): b'PATH_REPLACE__?????\x00',Other Attack,Other Attack
29012025 03:58:22,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 03:58:22,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
29012025 04:04:49,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack,HTTP Attack
